query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugx7rfqOgxux7aTTlaF4AaABAg,3 hours ago,1,,"0:53 he should have said ""Why did Microsoft go Go.""",@nikodrossos6249,https://yt3.ggpht.com/ytc/AIdro_nNr2IljTqrDy06t7go0DQEamq3Eghsnp638DdML_I=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC5vRxseJPtbQFpNipPjzLgg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgxVssrYObIjStzxW1V4AaABAg,4 hours ago,1,,"There is hardly any fireship video nowadays that doesn't end with ""the sponsor of today's video"".",@awwalmohammed9254,https://yt3.ggpht.com/ytc/AIdro_lvQAs2OdkUlu0vRMRbFoFsNqfC-4t8W1TZf4i3CWwp5u8=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCbDWapeQDy8fBGDOVZMyRWA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugxr0cFUXKrDlZvKTe94AaABAg,3 hours ago,1,,"I love how ""Yesterday, Microsoft dropped a nuke on programming"" is so polarizing that you'd either see the production code be EOL in the next version or it will be the fastest thing you've seen yet.

But both still require you to migrate.",@haves_,https://yt3.ggpht.com/WgLr1KNOWnNOy7gbCtRaK_iew46V3BEHANa1DPhA9EY08XV68zE9-2V3QXNwLg3GnqHC0OPd=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCLrC1ukeR_cTOnb-hDzfXrg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgzFoDJn47v5yzZllaV4AaABAg,3 hours ago,1,,I watch Fireship religiously at this point.,@CosmicAerospace,https://yt3.ggpht.com/xjUEMByZ87pNL0frv5Y1QPDXhFOlorQHEetCiXeMR6MCPO_2hEBX_y8DMfjfiYjrMewy0PRY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC_ZEyrSoo5QFk2p6q3Wc8Tg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwfwyVTs574rqQpLIR4AaABAg,3 hours ago (edited),1,,People saying Go isn't well suited to writing a compiler are going to be shocked when they find out what the highly-regarded Go compiler is written in.,@americanjetset5010,https://yt3.ggpht.com/axFuTGyMCDyYLj-BrneFMyLaJPBYsIEA9gyJc3U6oTi4izZzky2nWeV2dN0cgRvJwa5UKcoe=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCy7Zqd5hLhVEmOpEBTedlgA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugx0RBW7hP685EpV_uZ4AaABAg,4 hours ago,2,,Can't wait for the next fireship video,@hitblank2320,https://yt3.ggpht.com/EUpHuCzMBW1bzYhaq47FCj2NeWzG7Qfd4-ibd1YhEOI_rwQ2aKLQoRrog2ySyS5M5b6Y2GL3mQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC4kkI7qTyo8Im8r3RFPHKOw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugy80I8wzOek2V2v4bB4AaABAg,4 hours ago,2,,At this point Fireship is to Development & AI Tools what Elon Musk is to Meme Coins. He could literally pump and dump any framework with one 100-second video. lol,@james8356,https://yt3.ggpht.com/ytc/AIdro_nbnIwyYsF5KGzS2pWd-Bbv2zgtWKXIXYtKtnh9Q669BzQAGM9gxLELfbqgp3aEheu7BQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCgPdK7nhssKRRDkLeLXzjNw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgygUVZB4pguikmCud94AaABAg,4 hours ago,2,,I just realised Google Go might have something to do with Go,@davidaugustofc2574,https://yt3.ggpht.com/4aZnB77b3bVvNyRgbJy-e88sxGBuWG25jmOrjSnjpn0oKa4mwd896kIllG8YM-3DIySVinsB=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCWzXozEkcs8KWuNCDUqurDA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugxakt0r67H7QgDiuM94AaABAg,2 hours ago,1,,Now companies will do presentations in fireship style so people will watch it,@il_coups1,https://yt3.ggpht.com/jbrKXYANbAELbrdRWXTv6xNJSS9F_qvvI_osnsAyJRNtQ2gpKumDzWkO6XXqm65pXvcq_DSixg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCX0JV3ME9XOaFZ-6mo1JNYQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwJU0kDa4RWmFtg29t4AaABAg,5 hours ago,2,,"""I will wait for the fireship video"" how do you get notified man!!",@user-mj2lm5fh1j,https://yt3.ggpht.com/a_3_tYWzZRu6WYz09yB8yhA7ki-w7V2sGFSFtc8no55Cc0Qh_h-4wCeQnoNzvtzYiVFXgx9pZg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCAuPuL38DKMu-A-y6BqS2VA,FALSE,FALSE,FALSE
